schema_version,map_name,frame_id,building_id,source_component_id,ring_role,ring_index,vertex_order,next_vertex_order,ring_vertex_count,winding,x_enu_m,y_enu_m,foundation_z_m,ground_reference_z_m,roof_z_m,height_above_ground_m
1,city_uav,gazebo_world_enu,building_036,1137,outer,0,4,5,6,CCW,-59.03425,-288.62825,-0.05,0,25.8823529412,25.8823529412
1,city_uav,gazebo_world_enu,building_036,1137,outer,0,5,0,6,CCW,-58.44275,-244.83875,-0.05,0,25.8823529412,25.8823529412
1,city_uav,gazebo_world_enu,building_038,1141,outer,0,0,1,6,CCW,-208.798,-243.07275,-0.05,0,25.2941176471,25.2941176471
1,city_uav,gazebo_world_enu,building_038,1141,outer,0,1,2,6,CCW,-208.7955,-288.046,-0.05,0,25.2941176471,25.2941176471
1,city_uav,gazebo_world_enu,building_038,1141,outer,0,2,3,6,CCW,-187.401,-288.04475,-0.05,0,25.2941176471,25.2941176471
1,city_uav,gazebo_world_enu,building_038,1141,outer,0,3,4,6,CCW,-187.40275,-257.86525,-0.05,0,25.2941176471,25.2941176471
1,city_uav,gazebo_world_enu,building_038,1141,outer,0,4,5,6,CCW,-167.79125,-257.864,-0.05,0,25.2941176471,25.2941176471
1,city_uav,gazebo_world_enu,building_038,1141,outer,0,5,0,6,CCW,-167.79225,-243.07025,-0.05,0,25.2941176471,25.2941176471
1,city_uav,gazebo_world_enu,building_040,1143,outer,0,0,1,6,CCW,-396.60125,-86.8605,-0.05,0,36.7647058824,36.7647058824
1,city_uav,gazebo_world_enu,building_040,1143,outer,0,1,2,6,CCW,-396.59925,-125.916,-0.05,0,36.7647058824,36.7647058824
1,city_uav,gazebo_world_enu,building_040,1143,outer,0,2,3,6,CCW,-358.565,-126.50575,-0.05,0,36.7647058824,36.7647058824
1,city_uav,gazebo_world_enu,building_040,1143,outer,0,3,4,6,CCW,-357.973,-82.71625,-0.05,0,36.7647058824,36.7647058824
1,city_uav,gazebo_world_enu,building_040,1143,outer,0,4,5,6,CCW,-387.093,-82.126,-0.05,0,36.7647058824,36.7647058824
1,city_uav,gazebo_world_enu,building_040,1143,outer,0,5,0,6,CCW,-387.09275,-86.86,-0.05,0,36.7647058824,36.7647058824
1,city_uav,gazebo_world_enu,building_042,1146,outer,0,0,1,6,CCW,295.1245,175.92325,-0.05,0,49.5588235294,49.5588235294
1,city_uav,gazebo_world_enu,building_042,1146,outer,0,1,2,6,CCW,295.12575,159.946,-0.05,0,49.5588235294,49.5588235294
1,city_uav,gazebo_world_enu,building_042,1146,outer,0,2,3,6,CCW,309.98275,159.94725,-0.05,0,49.5588235294,49.5588235294
1,city_uav,gazebo_world_enu,building_042,1146,outer,0,3,4,6,CCW,309.985,133.3185,-0.05,0,49.5588235294,49.5588235294
1,city_uav,gazebo_world_enu,building_042,1146,outer,0,4,5,6,CCW,334.35025,133.3205,-0.05,0,49.5588235294,49.5588235294
1,city_uav,gazebo_world_enu,building_042,1146,outer,0,5,0,6,CCW,334.34675,175.33475,-0.05,0,49.5588235294,49.5588235294
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,0,1,7,CCW,-220.717,325.60025,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,1,2,7,CCW,-207.64275,320.867,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,2,3,7,CCW,-215.961,297.78825,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,3,4,7,CCW,-193.37825,289.505,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,4,5,7,CCW,-184.4655,313.17575,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,5,6,7,CCW,-178.52375,329.745,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_043,1151,outer,0,6,0,7,CCW,-214.77525,342.7615,-0.05,0,36.0294117647,36.0294117647
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,0,1,8,CCW,-21.0025,-247.20325,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,1,2,8,CCW,-20.40525,-288.62575,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,2,3,8,CCW,4.55475,-288.624,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,3,4,8,CCW,3.959,-264.36225,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,4,5,8,CCW,20.00475,-264.36125,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,5,6,8,CCW,19.409,-242.46625,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,6,7,8,CCW,-1.9855,-242.46775,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_045,1162,outer,0,7,0,8,CCW,-1.98525,-247.20175,-0.05,0,43.3823529412,43.3823529412
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,0,1,8,CCW,-17.42925,-357.8605,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,1,2,8,CCW,-17.426,-403.4255,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,2,3,8,CCW,20.01425,-402.831,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,3,4,8,CCW,20.013,-384.48675,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,4,5,8,CCW,6.9385,-384.48775,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,5,6,8,CCW,6.93825,-377.9785,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,6,7,8,CCW,5.15525,-377.9785,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_046,1164,outer,0,7,0,8,CCW,5.154,-357.859,-0.05,0,26.9117647059,26.9117647059
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,0,1,8,CCW,554.816,255.24125,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,1,2,8,CCW,555.41125,244.58975,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,2,3,8,CCW,557.194,244.59,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,3,4,8,CCW,557.7895,233.34675,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,4,5,8,CCW,567.29775,233.93925,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,5,6,8,CCW,567.29775,235.12275,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,6,7,8,CCW,592.85125,236.9005,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_047,1166,outer,0,7,0,8,CCW,591.0665,258.2035,-0.05,0,39.2647058824,39.2647058824
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,0,1,8,CCW,178.072,-84.457,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,1,2,8,CCW,206.59975,-111.67525,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,2,3,8,CCW,219.07875,-99.2475,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,3,4,8,CCW,208.975,-89.1885,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,4,5,8,CCW,213.729,-84.45425,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,5,6,8,CCW,211.946,-82.679,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,6,7,8,CCW,225.019,-68.476,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_048,1169,outer,0,7,0,8,CCW,208.97225,-52.5,-0.05,0,49.4117647059,49.4117647059
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,0,1,8,CCW,295.12425,178.882,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,1,2,8,CCW,347.4205,178.8865,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,2,3,8,CCW,347.419,197.23075,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,3,4,8,CCW,334.93925,197.22975,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,4,5,8,CCW,335.53125,223.85875,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,5,6,8,CCW,309.383,223.8565,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,6,7,8,CCW,309.38525,197.2275,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_049,1170,outer,0,7,0,8,CCW,295.717,197.2265,-0.05,0,21.6176470588,21.6176470588
1,city_uav,gazebo_world_enu,building_050,1171,outer,0,0,1,8,CCW,485.27975,322.6945,-0.05,0,37.0588235294,37.0588235294
1,city_uav,gazebo_world_enu,building_050,1171,outer,0,1,2,8,CCW,485.28175,300.79975,-0.05,0,37.0588235294,37.0588235294
1,city_uav,gazebo_world_enu,building_050,1171,outer,0,2,3,8,CCW,520.938,300.21125,-0.05,0,37.0588235294,37.0588235294
1,city_uav,gazebo_world_enu,building_050,1171,outer,0,3,4,8,CCW,520.937,310.86275,-0.05,0,37.0588235294,37.0588235294
1,city_uav,gazebo_world_enu,building_050,1171,outer,0,4,5,8,CCW,522.72,310.863,-0.05,0,37.0588235294,37.0588235294
