building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_028,building_259,34.9670032272,118.8660224923,3.3993768845
building_031,building_033,15.9074673914,72.3308769776,4.5469762846
building_031,building_078,14.9121545894,58.3092964537,3.9101858892
building_031,building_083,29.6434106354,112.1295071708,3.7826115406
building_031,building_095,28.1206079155,104.3143351859,3.7095334318
building_031,building_119,27.4572688327,97.4406635637,3.5488112149
building_031,building_124,1.6673780022,28.6120398097,17.1599000175
building_031,building_195,22.3467727536,83.5387966786,3.7382935603
building_031,building_266,3.0950587047,39.5610547512,12.7820046485
building_032,building_042,29.7409059297,102.0958263792,3.4328418448
building_032,building_049,33.8037686544,119.8432751073,3.5452637347
building_032,building_113,26.6236815721,95.7041008015,3.5946982217
building_032,building_209,20.3714542962,78.3505560897,3.846095372
building_033,building_078,3.3280184343,41.2423018031,12.3924499269
building_033,building_095,0.9508753673,27.3579084305,28.7712873551
building_033,building_097,29.3981005866,107.307970007,3.6501667749
building_033,building_118,29.1142000908,103.3475148778,3.5497288112
building_033,building_124,27.3260997087,103.693481708,3.7946682041
building_033,building_181,21.3945206637,79.4951393784,3.7156775152
building_033,building_195,10.8908139824,59.4817254,5.4616418475
building_033,building_236,25.284586456,99.394053693,3.9310136184
building_033,building_266,11.7250320183,55.0948753122,4.6989104359
building_034,building_048,20.2037326947,81.6385484429,4.0407656187
building_034,building_099,20.3562488957,79.6263082539,3.9116395492
building_034,building_125,2.1302529472,32.7205632724,15.3599427314
building_034,building_132,1.4130225505,30.5225275753,21.6008778942
building_034,building_135,28.2125533201,102.1722453086,3.6215171363
building_034,building_159,24.121743634,96.8436389572,4.0147860133
building_034,building_234,28.0502774905,95.7864701369,3.4148136384
building_034,building_247,23.1966512858,88.3876416901,3.8103621338
building_034,building_265,6.8936708575,50.6982612759,7.3543199732
building_036,building_038,27.3373594277,100.11876315,3.6623421298
building_036,building_045,14.9875084275,59.7005653998,3.9833549178
building_036,building_046,32.3087120512,118.9463725369,3.6815572329
