building_id,source_component_id,original_centroid_x_m,original_centroid_y_m,transformed_centroid_x_m,transformed_centroid_y_m,centroid_spacing_scale,footprint_scale_xy,foundation_z_m,roof_z_m,height_above_ground_m,roof_z_difference_from_source_m
building_033,1130,86.1426299789,-152.783099411,215.3565749473,-381.9577485274,2.5,2.5,-0.05,45.2941176471,45.2941176471,27.0523594053
building_034,1135,43.4530146751,-45.3243731185,108.6325366878,-113.3109327962,2.5,2.5,-0.05,43.8235294118,43.8235294118,26.0213316096
building_036,1137,-30.1428891356,-105.4004302777,-75.357222839,-263.5010756942,2.5,2.5,-0.05,25.8823529412,25.8823529412,13.8677009265
building_038,1141,-77.3398895129,-104.8250218846,-193.3497237822,-262.0625547114,2.5,2.5,-0.05,25.2941176471,25.2941176471,13.5358758889
building_040,1143,-150.817019136,-41.9062194512,-377.04254784,-104.765548628,2.5,2.5,-0.05,36.7647058824,36.7647058824,21.2702003879
building_042,1146,127.3962366982,62.7716100782,318.4905917454,156.9290251955,2.5,2.5,-0.05,49.5588235294,49.5588235294,29.6687136393
building_043,1151,-79.9997199249,126.9350767661,-199.9992998121,317.3376919153,2.5,2.5,-0.05,36.0294117647,36.0294117647,20.75468649
building_045,1162,-1.260056568,-105.5619774332,-3.15014142,-263.9049435829,2.5,2.5,-0.05,43.3823529412,43.3823529412,25.6900452489
building_046,1164,-0.8503307896,-153.3255270075,-2.1258269739,-383.3138175188,2.5,2.5,-0.05,26.9117647059,26.9117647059,14.5674423616
building_047,1166,229.5954187747,98.4530069649,573.9885469368,246.1325174123,2.5,2.5,-0.05,39.2647058824,39.2647058824,23.0375996553
building_048,1169,81.1862465468,-32.7077362843,202.965616367,-81.7693407107,2.5,2.5,-0.05,49.4117647059,49.4117647059,29.5582848524
building_049,1170,128.7172382215,78.9973386291,321.7930955537,197.4933465728,2.5,2.5,-0.05,21.6176470588,21.6176470588,11.2147166559
building_050,1171,201.4994143707,124.7091516999,503.7485359267,311.7728792498,2.5,2.5,-0.05,37.0588235294,37.0588235294,21.454427925
building_051,1172,202.4277237456,94.5324318904,506.069309364,236.331079726,2.5,2.5,-0.05,43.6764705882,43.6764705882,25.9109028226
building_053,1177,202.7472238225,114.8229605364,506.8680595563,287.057401341,2.5,2.5,-0.05,38.5294117647,38.5294117647,22.558715794
building_054,1180,-50.7373135568,128.8697762029,-126.843283892,322.1744405073,2.5,2.5,-0.05,21.4705882353,21.4705882353,11.104287869
building_055,1182,-233.8069453896,29.7478768356,-584.5173634739,74.3696920891,2.5,2.5,-0.05,36.6176470588,36.6176470588,21.1964016376
building_056,1188,-62.2930587673,171.0038604023,-155.7326469184,427.5096510057,2.5,2.5,-0.05,38.2352941176,38.2352941176,22.3378582202
building_057,1189,-31.3300518567,-219.4206668703,-78.3251296418,-548.5516671758,2.5,2.5,-0.05,44.2647058824,44.2647058824,26.3526179703
building_058,1192,-170.192117495,45.2633893029,-425.4802937375,113.1584732572,2.5,2.5,-0.05,41.1764705882,41.1764705882,24.2533936651
building_059,1194,-108.9033595786,188.7798174966,-272.2583989464,471.9495437415,2.5,2.5,-0.05,40.2941176471,40.2941176471,23.7007110537
building_060,1196,-210.9411376126,110.8386530633,-527.3528440314,277.0966326583,2.5,2.5,-0.05,37.5,37.5,21.7857142857
building_062,1201,227.5768773992,-60.8805288357,568.9421934979,-152.2013220894,2.5,2.5,-0.05,31.3235294118,31.3235294118,17.4773755656
building_063,1202,-182.7601779459,-101.9939741153,-456.9004448648,-254.9849352883,2.5,2.5,-0.05,42.3529411765,42.3529411765,25.1001939238
building_064,1204,-229.1764914411,-117.1974332612,-572.9412286028,-292.9935831529,2.5,2.5,-0.05,39.4117647059,39.4117647059,23.1480284422
building_065,1206,181.9246392598,-3.2553732223,454.8115981496,-8.1384330558,2.5,2.5,-0.05,48.5294117647,48.5294117647,29.0422322775
building_067,1209,182.5680972961,-76.3892779563,456.4202432401,-190.9731948907,2.5,2.5,-0.05,43.0882352941,43.0882352941,25.5790777849
building_069,1213,-105.1468971173,-63.8260211441,-262.8672427932,-159.5650528602,2.5,2.5,-0.05,26.3235294118,26.3235294118,14.125727214
building_070,1215,-0.8987403597,29.3753600767,-2.2468508994,73.4384001917,2.5,2.5,-0.05,36.3235294118,36.3235294118,20.9755440638
building_072,1218,-103.5704056226,16.7921207539,-258.9260140564,41.9803018847,2.5,2.5,-0.05,24.2647058824,24.2647058824,12.9093945271
building_073,1220,153.1169256136,140.6823223335,382.7923140339,351.7058058338,2.5,2.5,-0.05,45.7352941176,45.7352941176,27.3470157293
building_074,1221,-76.3656975819,-24.3207694223,-190.9142439547,-60.8019235558,2.5,2.5,-0.05,46.0294117647,46.0294117647,27.5312432665
building_076,1224,153.1624772405,98.1732441825,382.9061931012,245.4331104562,2.5,2.5,-0.05,44.7058823529,44.7058823529,26.6472742943
building_078,1226,62.2382301134,-153.1488520231,155.5955752836,-382.8721300578,2.5,2.5,-0.05,38.9705882353,38.9705882353,22.8167420815
building_082,1231,66.220770239,144.5081489775,165.5519255975,361.2703724437,2.5,2.5,-0.05,32.9411764706,32.9411764706,18.6920922215
building_083,1232,36.1848086063,-227.7707246698,90.4620215157,-569.4268116746,2.5,2.5,-0.05,21.9117647059,21.9117647059,11.3989441931
building_084,1240,-53.5860074207,-230.0873270578,-133.9650185518,-575.2183176446,2.5,2.5,-0.05,33.6764705882,33.6764705882,19.1709760827
building_086,1243,-202.7984972546,90.0644871107,-506.9962431365,225.1612177768,2.5,2.5,-0.05,42.7941176471,42.7941176471,25.3948502478
building_087,1244,127.2597958322,142.2794955338,318.1494895804,355.6987388346,2.5,2.5,-0.05,37.9411764706,37.9411764706,22.1170006464
building_088,1249,-33.5470250678,226.3715525796,-83.8675626695,565.928881449,2.5,2.5,-0.05,48.9705882353,48.9705882353,29.300258565
building_089,1250,144.6368405282,210.603742682,361.5921013205,526.509356705,2.5,2.5,-0.05,48.0882352941,48.0882352941,28.7842059901
building_090,1252,85.5181336897,143.3007878038,213.7953342244,358.2519695096,2.5,2.5,-0.05,29.7058823529,29.7058823529,16.4458090928
building_091,1253,-66.7891064425,76.2501211881,-166.9727661063,190.6253029704,2.5,2.5,-0.05,40.8823529412,40.8823529412,24.069166128
building_092,1254,-141.6494432865,89.1670521813,-354.1236082162,222.9176304534,2.5,2.5,-0.05,47.3529411765,47.3529411765,28.3785822021
building_093,1255,-17.1345012377,78.1369467352,-42.8362530943,195.3423668379,2.5,2.5,-0.05,22.2058823529,22.2058823529,11.6198017668
building_095,1264,102.7064304058,-152.4690090389,256.7660760144,-381.1725225972,2.5,2.5,-0.05,28.6764705882,28.6764705882,15.7826976944
building_097,1267,103.4821531356,-104.7632583448,258.705382839,-261.9081458621,2.5,2.5,-0.05,20.4411764706,20.4411764706,10.3312863607
building_099,1270,45.3184449537,-83.6402981164,113.2961123842,-209.1007452911,2.5,2.5,-0.05,31.0294117647,31.0294117647,17.2565179918
building_100,1272,-30.0553431246,13.9644147324,-75.1383578115,34.9110368309,2.5,2.5,-0.05,48.6764705882,48.6764705882,29.1526610644
building_102,1277,-30.97233268,-152.7321969977,-77.4308317,-381.8304924943,2.5,2.5,-0.05,45.5882352941,45.5882352941,27.2365869425
building_103,1278,-29.8296823816,-5.0997814088,-74.5742059541,-12.749453522,2.5,2.5,-0.05,33.2352941176,33.2352941176,18.8763197586
building_104,1280,-29.5591297911,-172.5419924241,-73.8978244778,-431.3549810602,2.5,2.5,-0.05,35,35,20.0549450549
building_105,1282,-228.0800238783,-77.1942642571,-570.2000596959,-192.9856606428,2.5,2.5,-0.05,34.5588235294,34.5588235294,19.7602887309
building_106,1283,-106.9078278785,-3.289058467,-267.2695696962,-8.2226461676,2.5,2.5,-0.05,33.8235294118,33.8235294118,19.2814048697
building_108,1286,-228.7533102344,-54.6824087358,-571.883275586,-136.7060218396,2.5,2.5,-0.05,28.9705882353,28.9705882353,16.0035552683
building_109,1287,-76.6631020048,-83.0575781169,-191.657755012,-207.6439452922,2.5,2.5,-0.05,21.3235294118,21.3235294118,10.9938590821
building_110,1288,-76.5290321169,-43.1977097417,-191.3225802923,-107.9942743543,2.5,2.5,-0.05,24.5588235294,24.5588235294,13.1302521008
building_111,1289,-26.5668029288,37.2342432288,-66.417007322,93.0856080721,2.5,2.5,-0.05,38.6764705882,38.6764705882,22.6691445809
building_113,1291,127.8619978146,43.0859742851,319.6549945366,107.7149357126,2.5,2.5,-0.05,24.7058823529,24.7058823529,13.2406808877
building_114,1292,199.1769801522,145.9200510537,497.9424503806,364.8001276342,2.5,2.5,-0.05,35.4411764706,35.4411764706,20.349601379
building_116,1296,113.9722260212,-225.787346672,284.930565053,-564.46836668,2.5,2.5,-0.05,27.3529411765,27.3529411765,14.8987287223
building_117,1298,-97.3656897629,65.51999887,-243.4142244072,163.799997175,2.5,2.5,-0.05,22.0588235294,22.0588235294,11.5093729799
building_118,1299,85.8637013312,-104.5676620142,214.6592533279,-261.4191550354,2.5,2.5,-0.05,40.4411764706,40.4411764706,23.7745098039
building_119,1301,55.0498657726,-226.6067041655,137.6246644315,-566.5167604138,2.5,2.5,-0.05,35.5882352941,35.5882352941,20.4600301659
building_120,1310,59.8291957756,117.490969682,149.5729894389,293.727424205,2.5,2.5,-0.05,26.6176470588,26.6176470588,14.3465847877
building_121,1311,12.8610440113,120.3378842669,32.1526100283,300.8447106673,2.5,2.5,-0.05,37.3529411765,37.3529411765,21.6752854988
building_124,1317,45.6024060522,-181.0784907701,114.0060151305,-452.6962269253,2.5,2.5,-0.05,22.3529411765,22.3529411765,11.7302305538
building_125,1318,43.5264186685,-26.0722828537,108.8160466711,-65.1807071342,2.5,2.5,-0.05,30,30,16.63003663
building_126,1319,105.9798953894,-31.0949512846,264.9497384734,-77.7373782114,2.5,2.5,-0.05,37.2058823529,37.2058823529,21.5648567119
building_127,1322,-30.1975324888,-83.8105140095,-75.4938312219,-209.5262850237,2.5,2.5,-0.05,40.7352941176,40.7352941176,23.958737341
building_128,1326,-182.7267918948,-141.6185112459,-456.816979737,-354.0462781147,2.5,2.5,-0.05,26.1764705882,26.1764705882,14.015298427
building_129,1328,-105.0330685119,-191.058374617,-262.5826712797,-477.6459365426,2.5,2.5,-0.05,25.5882352941,25.5882352941,13.6834733893
building_130,1331,217.9177669164,44.8771080442,544.794417291,112.1927701104,2.5,2.5,-0.05,23.3823529412,23.3823529412,12.3567119156
building_131,1332,-234.9891028027,236.032086184,-587.4727570067,590.0802154601,2.5,2.5,-0.05,46.7647058824,46.7647058824,27.9368670546
building_132,1336,43.8827919995,-63.6143291065,109.7069799988,-159.0358227662,2.5,2.5,-0.05,25.1470588235,25.1470588235,13.4254471019
building_133,1340,226.8135235877,128.4496260079,567.0338089693,321.1240650199,2.5,2.5,-0.05,28.0882352941,28.0882352941,15.3776125835
building_134,1341,-229.4870044424,-35.4460666281,-573.7175111059,-88.6151665702,2.5,2.5,-0.05,27.2058823529,27.2058823529,14.7882999353
building_135,1344,0.1684011398,-67.2606916265,0.4210028495,-168.1517290663,2.5,2.5,-0.05,41.6176470588,41.6176470588,24.5480499892
building_136,1346,-180.890618242,-61.9598417191,-452.2265456051,-154.8996042979,2.5,2.5,-0.05,21.7647058824,21.7647058824,11.2885154062
building_137,1347,-0.4576208178,-173.2402084757,-1.1440520445,-433.1005211893,2.5,2.5,-0.05,46.6176470588,46.6176470588,27.8264382676
building_139,1350,-42.0782149519,166.744702431,-105.1955373796,416.8617560776,2.5,2.5,-0.05,35.1470588235,35.1470588235,20.1653738418
building_141,1352,153.4667908514,129.665056174,383.6669771286,324.1626404351,2.5,2.5,-0.05,27.0588235294,27.0588235294,14.6778711484
building_142,1353,153.3256124173,108.1959245336,383.3140310433,270.489811334,2.5,2.5,-0.05,25.4411764706,25.4411764706,13.6096746391
building_143,1354,153.2480086571,87.3085651128,383.1200216426,218.271412782,2.5,2.5,-0.05,20.8823529412,20.8823529412,10.6625727214
building_144,1359,-56.03901405,232.1746361382,-140.0975351251,580.4365903454,2.5,2.5,-0.05,45.1470588235,45.1470588235,26.9419306184
building_145,1360,125.9540601952,-3.4237301296,314.8851504881,-8.5593253241,2.5,2.5,-0.05,26.4705882353,26.4705882353,14.2361560009
